provider,doc_time,time_date,title,link,desc
ТВ2,06:50,26 апреля,Голос сибирского сенатора против закона об изоляции Рунета засчитали «за»,http://tv2.today/News/Golos-sibirskogo-senatora-protiv-zakona-ob-izolyacii-runeta-zaschitali-za,"Совфед рассмотрел законопроект об автономном интернете 22 апреля. Документ поддержал 151 сенатор, против были четверо..."
ИА Клерк.Ру,01:40,26 апреля,Как купить онлайн-кассу и не переплатить?,https://www.klerk.ru/blogs/online-kassa/484799/,Если касса будет работать автономно (без интернета) — срок сократится до 18 мес. А продавцы подакцизных товаров могут использовать ФН только в течение 13 месяцев.
The Insider,вчера в 15:33,25 апреля,"Нарусова заявила, что голосовала против закона о суверенном интернете, а ее голос не учли из-за сбоя. В СФ ее слова отвергли",https://theins.ru/news/153798,"Ранее стало известно, что лишь четверо сенаторов проголосовали против пакета законов об «автономном интернете»."
ЗакC.Ру,вчера в 15:05,25 апреля,"Нарусова заявила, что не голосовала за принятие закона о «суверенном рунете»",https://www.zaks.ru/new/archive/view/187849,"...каким образом так получилось, что её фамилия оказалась в числе проголосовавших за принятие законопроекта об автономном российском интернете, хотя она обещала, что..."
Медиазона,вчера в 14:10,25 апреля,"Сенатор Нарусова утверждает, что ее голос против закона об «автономном интернете» неверно засчитали из-за технического сбоя",https://zona.media/news/2019/04/25/narusova,"Читаем законопроект об автономном интернете вместе с IT-специалистом «Задержка [голосования] была, но к моменту голосования все системы работали, сбоев не было»..."
Тайга.инфо,вчера в 13:20,25 апреля,Голос сибирского сенатора против закона об изоляции Рунета засчитали «за»,https://tayga.info/146228,"Совфед рассмотрел законопроект об автономном интернете 22 апреля. Документ поддержал 151 сенатор, против были четверо..."
Эхо Москвы,24 апреля в 23:50,24 апреля,Особое мнение: Андрей Мовчан,https://echo.msk.ru/programs/personalno/2413319-echo/,"Не под конкретный момент, а когда готова бюрократическая машина? Я имею в виду анонимный, то есть, автономный интернет? А.Мовчан― «Суеверный» интернет."
Телеканал UTV,24 апреля в 19:16,24 апреля,Мизулина поддержала законы о запретах,https://utv.ru/material/mizulina-podderzhala-zakony-o-zapretah/,"...то ли проделки высшего разума, но перед самым началом процесса отключился свет.Лишь 4 сенатора проголосовали против законопроекта об автономной интернете."
Юг Сибири,24 апреля в 05:11,24 апреля,"Закон об изоляции российского интернета: один сенатор от Хакасии против, другой — за",http://ctv7.ru/news/politika/54013-zakon-ob-izolyatsii-rossiyskogo-interneta-odin-senator-ot-hakasii-protiv-drugoy-za.html,"Суть идеи в том, чтобы обеспечить автономную работу интернета в России в случае международных угроз. Авторы закона видят их в США."
112.ua,23 апреля в 15:53,23 апреля,В РФ уже более месяца устанавливают «надгробия Путину»: Почему россияне «хоронят» своего президента,https://112.ua/glavnye-novosti/v-rf-uzhe-bolshe-mesyaca-ustanavlivayut-nadgrobiya-putinu-pochemu-rossiyane-horonyat-svoego-prezidenta-489229.html,"Напомним, в феврале Госдума одобрила в первом чтении законопроект об автономной работе интернета в России."
Гатчинка.рф,23 апреля в 16:02,23 апреля,Нас никому не сбить с пути,http://gatchinka.ru/column/neformatnoe-chtivo/nas-nikomu-ne-sbit-s-puti.html,"Об этом дама заявила на Форуме безопасного интернета, прошедшем в Москве и приуроченном к появлению в России «автономного» интернета."
CoinDuck,23 апреля в 15:53,23 апреля,Совет Федерации проголосовал за изоляцию Рунета и остался без интернета,https://coinduck.ru/news/politics-news/sovet-federatsii-progolosoval-za-izolyatsiyu-runeta-i-ostalsya-bez-interneta/,"С её помощью будет обеспечиваться внутренний автономный интернет, работающий на территории РФ."
Deita.ru,23 апреля в 14:32,23 апреля,Автономный рунет создают на иностранном оборудовании,https://deita.ru/ru/news/avtonomnyj-runet-sozdayut-na-inostrannom-oborudovanii/,"Законопроект об автономном интернете в России принят Советом Федерации почти единогласно, сообщает DEITA."
Эхо Москвы,23 апреля в 09:41,23 апреля,Полный Альбац: Украина после выборов,https://echo.msk.ru/programs/albac/2412021-echo/,В результате этих взрывов погибло 290 человек. Много людей ранены. Еще из плохого – сегодня Совет Федерации одобрил закон об автономном Интернете.
Реальное время,23 апреля в 07:00,23 апреля,«Сценарий отключения России от Сети реален только в одном случае — в случае реальных военных действий»,https://realnoevremya.ru/articles/137197-v-sovfede-prinyali-zakon-o-suverennom-runete,"Если говорить максимально просто, то в России планируется создание автономного сегмента интернета, на случай отключения от общемировой сети."
Новая газета,22 апреля в 22:38,22 апреля,"«Запрет — это и есть свобода». Как Мизулина, Малофеев и Турчак защитили наши цифровые права",https://www.novayagazeta.ru/articles/2019/04/22/80321-parallelnyy-mobilizatsionnyy-internet,"Сложнее дело обстоит с ограничением интернета для взрослых — эксперты и законодатели уверяют, что закон об автономном интернете не репрессивный."
Афиша Daily,22 апреля в 22:35,22 апреля,Бывшие чиновники Минкомсвязи анонимно рассказали о создании закона об автономном рунете,https://daily.afisha.ru/news/26210-byvshie-chinovniki-minkomsvyazi-anonimno-rasskazali-o-sozdanii-zakona-ob-avtonomnom-runete/,"По их словам, вероятно, идея создать в России автономный интернет появилась еще 13 лет назад, когда Минкомсвязи наказал проверить наличие угроз внешнего отключения интернета."
Эхо Москвы,22 апреля в 19:49,22 апреля,Персонально ваш: Станислав Белковский,https://echo.msk.ru/programs/personalnovash/2412011-echo/,С.Крючков― Еще одна чудесная новость. Сегодня на фоне одобренного Советом Федерации в Москве закона о суверенном или автономном интернете сенатор Мизулина вновь...
Эхо Москвы,22 апреля в 19:35,22 апреля,Особое мнение: Аркадий Дубнов,https://echo.msk.ru/programs/personalno/2412017-echo/,"Они создали действительно автономный Интернет. И вообще не только Интернет, они создали автономные платежные системы."
Ракурс,22 апреля в 19:12,22 апреля,Верхняя палата российского парламента поддержала закон об изоляции интернета,https://racurs.ua/n121117-verhnyaya-palata-rossiyskogo-parlamenta-podderjala-zakon-ob-izolyacii-interneta.html,"По словам авторов закона, он призван обеспечить автономную работу интернета в России в случаи отключения от доступа к глобальной сети и создан в ответ на принятую в сентябре 2018..."
Iluki.ru,22 апреля в 16:03,22 апреля,Совфед принял закон об автономном рунете,http://www.iluki.ru/news/sovfied-prinial-zakon-ob-avtonomnom-runietie,В Совете Федерации сегодня проголосовали за нашумевший закон об автономном интернете.
FaceNews,22 апреля в 15:40,22 апреля,Совет Федерации одобрил закон об изоляции Рунета,https://www.facenews.ua/news/2019/445139/,"По их словам, цель - обеспечить автономную работу интернета в России на случай, если российские операторы связи будут отключены от глобальной Сети."
Deutsche Welle - Russian,22 апреля в 15:34,22 апреля,Совет Федерации одобрил закон об изоляции Рунета,https://dw.com/p/3HDj4?maca=rus-yandex_new_politics_mm-9641-xml,"По их словам, цель - обеспечить автономную работу интернета в России на случай, если российские операторы связи будут отключены от глобальной Сети."
Совершенно секретно,22 апреля в 15:25,22 апреля,Совфед одобрил закон об изоляции Рунета,https://www.sovsekretno.ru/news/id/11272/,"Они хотят создать все необходимую инфраструктуру, что позволит российскому интернету работать автономно – в изоляции."
МНИАП.рф,22 апреля в 14:50,22 апреля,Технологии и экономика в формировании digital-тенденций,http://xn--80aplem.xn--p1ai/analytics/Tehnologii-i-ekonomika-v-formirovanii-digital-tendencij/,"...безопасности и эффективности жилой и рабочей среды; Динамические сети данных – необходимый элемент для интернета вещей, автономного автотранспорта и др."
Свободные Медиа,22 апреля в 14:42,22 апреля,Совет Федерации одобрил законопроект об автономном интернете,https://freemedia.io/2019/04/avtonomnyj-internet,"Теперь законопроект об автономном интернете передадут президенту Владимиру Путину. Если он его подпишет, закон вступит в силу 1 ноября 2019 года."
Euronews на русском,22 апреля в 14:36,22 апреля,Совет Федерации одобрил закон об «автономном Рунете»,http://ru.euronews.com/2019/04/22/ru-internet,"По словам законодателей, проект призван обеспечить автономную работу интернета в стране в случае отключения его от мировой сети извне."
IT-World,22 апреля в 14:32,22 апреля,Строительством федеральной сети IoT займутся структуры Игоря Ротенберга и корпорации «Ростех»,https://www.it-world.ru/it-news/telecom/144725.html,...предусматривающего построение и развитие в России автономной сети интернета вещей.
Gordonua.com,22 апреля в 14:29,22 апреля,Совет Федерации России проголосовал за закон о суверенном Рунете,https://gordonua.com/news/worldnews/sovet-federacii-rossii-progolosoval-za-zakon-o-suverennom-runete-907355.html,"В Российском союзе промышленников и предпринимателей заявили, что расходы крупных компаний на реализацию положений закона об автономном интернете могут достичь $30 млн..."
Ридус,22 апреля в 14:22,22 апреля,Верхняя палата парламента одобрила закон о надежном Рунете,https://www.ridus.ru/news/297648,"Например, у китайцев получилось сделать свой интернет автономным. И мы, я думаю, тоже сможем, - полагает Ашманов."
Инфо24,22 апреля в 14:20,22 апреля,Совет Федерации одобрил законопроект об изоляции Рунета,https://info24.ru/news/sovet-federacii-odobril-zakonoproekt-ob-izolyacii-runeta.html,"Госдума приняла закон об автономном российском интернете 16 апреля. На исполнение закона, по предварительным подсчетам, уйдет 30 млрд рублей."
Общественное телевидение России,22 апреля в 14:15,22 апреля,Совет Федерации одобрил законопроект об автономном рунете,https://otr-online.ru/news/sovet-federacii-odobril-zakonoproekt-ob-avtonomnom-runete-124723.html,Совет Федерации поддержал законопроект об автономном интернете. Трансляция заседания ведется на сайте Совета.
66.ru,22 апреля в 14:10,22 апреля,Совет Федерации принял закон об изоляции Рунета. Как он будет работать,https://66.ru/news/internet/220935/,Сколько потратят на автономный интернет? Правительство России планирует выделить на исполнение закона об изоляции российского интернета около 30 млрд рублей.
Медиазона,22 апреля в 14:05,22 апреля,Совет Федерации одобрил законопроект об автономном интернете,https://zona.media/news/2019/04/22/sovfed_internet,"Теперь законопроект об автономном интернете передадут президенту Владимиру Путину. Если он его подпишет, закон вступит в силу 1 ноября 2019 года."
БелТелеРадиокомпания,22 апреля в 10:45,22 апреля,Внешняя и внутренняя политика Беларуси - важный блок Послания Президента,https://www.tvr.by/news/politika/vneshnyaya_i_vnutrennyaya_politika_belarusi_vazhnyy_blok_poslaniya_prezidenta_/,"Или кибербезопасность - вместо работы в Сети предлагают автономный Интернет, т. е. закрыть, запретить, отрезать."
БелТелеРадиокомпания,21 апреля в 21:30,21 апреля,Внешняя и внутренняя политика Беларуси - важный блок Послания Президента,https://www.tvr.by/news/glavnyy-efir/vneshnyaya_i_vnutrennyaya_politika_belarusi_vazhnyy_blok_poslaniya_prezidenta_/,"Или кибербезопасность - вместо работы в Сети предлагают автономный Интернет, т. е. закрыть, запретить, отрезать."
Peopletalk,19 апреля в 21:13,19 апреля,Принят закон о «Суверенном Интернете». Что это значит?,https://peopletalk.ru/article/prinyat-zakon-o-suverennom-internete-chto-eto-znachit/,"...его первый заместитель Людмила Бокова и депутат Госдумы Андрей Луговой, заявили, что речь идет о создании безопасного автономного российского Интернета..."
Нижний Новгород on-line,18 апреля в 19:36,18 апреля,"«Никакого секса и критики партии»: нижегородцы рассказали, как работает суверенный Интернет в Китае",https://www.nn.ru/news/articles/nikakogo_seksa_i_kritiki_partii_nizhegorodtsy_rasskazali_kak_rabotaet_suverennyy_internet_v_kitae/66059980/,Для Китая автономный интернет стал интернетом с жёсткой цензурой.
Калужские новости,18 апреля в 17:23,18 апреля,Депутат Госдумы от Калужской области Геннадий Скляр поддержал закон об изоляции рунета,https://kaluganews.ru/fn_445346.html,...законопроект о создании инфраструктуры для функционирования российского сегмента интернета автономно от остального мира.
Арсеньевские вести,17 апреля в 16:24,17 апреля,Достижения есть! Не у нас,http://www.arsvest.ru/rubr/3/57667,"Пресекал. А тут незадача: надо было голосовать за закон об «автономном интернете», а Володин – в Саратове. Но как не проголосовать!"
24СМИ,17 апреля в 14:38,17 апреля,Чем грозит россиянам закон о суверенном Интернете,https://24smi.org/news/151266-chem-grozit-rossiianam-zakon-o-suverennom-internet.html,"Суть закона об автономном Интернете, а также чем он грозит пользователям — в материале редакции 24СМИ. Что такое автономный Рунет?"
